the_geom,Name,id
"MULTIPOLYGON (((-122.1758366 47.4303876, -122.1649361 47.4236518, -122.1624811 47.4236469, -122.1624724 47.4199162, -122.1624764 47.4142205, -122.162427 47.4093743, -122.1624237 47.4069511, -122.1623775 47.404528, -122.1623388 47.3995728, -122.1623409 47.3970806, -122.1623312 47.3958491, -122.1622893 47.3946102, -122.1623182 47.3921072, -122.1623219 47.3908556, -122.1623364 47.3895605, -122.1622665 47.386701, -122.1643353 47.3865315, -122.1642823 47.3848232, -122.196409 47.3848974, -122.2125585 47.3850473, -122.2165959 47.3850118, -122.2206333 47.3850052, -122.2248424 47.384984, -122.2282584 47.384954, -122.2282792 47.3826961, -122.2446729 47.3828123, -122.2537066 47.3828123, -122.2577672 47.3827598, -122.261742 47.3830122, -122.2638638 47.387466, -122.2677828 47.3885363, -122.2701095 47.3887512, -122.2714867 47.3886318, -122.2724147 47.388937, -122.2717925 47.390691, -122.2720071 47.3915808, -122.2714062 47.3943697, -122.2717095 47.3958576, -122.2724713 47.3965984, -122.273233 47.3973973, -122.2715165 47.3982979, -122.2685982 47.3999537, -122.2620832 47.4012682, -122.2567658 47.4012572, -122.2555681 47.4021757, -122.2552411 47.411194, -122.2641833 47.4113028, -122.2648002 47.4120219, -122.2648002 47.4127334, -122.2654439 47.4231873, -122.2662164 47.4266714, -122.25729 47.4339293, -122.2193527 47.433581, -122.2199536 47.430736, -122.1757508 47.4308521, -122.1758366 47.4303876)))",Kent,
"MULTIPOLYGON (((-122.226848548475 47.6980606585719, -122.2288018630288 47.697937394034795, -122.22973820249885 47.69774015322964, -122.23090862683658 47.69770070497898, -122.2317864450898 47.69797684210635, -122.23190348752357 47.69813463409386, -122.23283982699371 47.69805573815982, -122.23418581498198 47.698450216636346, -122.23570736662089 47.698923586868645, -122.23681926974169 47.69947584670754, -122.239160118417 47.69963363415842, -122.24120836100789 47.70018588647621, -122.24372477333385 47.70113259112526, -122.24454407037018 47.70294706031747, -122.24324220997401 47.7034327384699, -122.24534506184202 47.7053677069057, -122.247168963973 47.7060319332411, -122.24815601688898 47.7066095144786, -122.24903578144601 47.7082844638744, -122.25133175236301 47.7102770059813, -122.252780145231 47.7108581497462, -122.25713605267 47.714373750858, -122.25796217304702 47.715680310119, -122.258369868817 47.7165970476115, -122.258734649243 47.7189862640181, -122.258402055325 47.7206608156486, -122.25658888203098 47.7225229693393, -122.254400199476 47.7235767167428, -122.252232974592 47.724038626693, -122.250988429608 47.7249119140005, -122.25090259892 47.726867735765204, -122.25072557312401 47.7275028207646, -122.250291055265 47.728051297031705, -122.249105518879 47.7281523315039, -122.24837595802802 47.72773375884431, -122.247807329716 47.7276327235604, -122.24720651489699 47.7284049168263, -122.25263530594302 47.7282389323239, -122.25311810356501 47.7286575009238, -122.253370231214 47.7313600740911, -122.25083822590399 47.7336403738658, -122.246975844923 47.7333517338444, -122.250494903151 47.7376811661774, -122.251439040724 47.7380563666955, -122.25302690846101 47.7379120591239, -122.253842300001 47.736844170663, -122.265043204847 47.7336115099356, -122.26641649586301 47.7364400990473, -122.26744646412499 47.7372193772126, -122.267661040846 47.738777898554, -122.266159003798 47.7399611891556, -122.26259703022501 47.7468872288164, -122.25843424183401 47.7504364669878, -122.25774759632598 47.7525428109643, -122.25791925770298 47.7559762574257, -122.25457186085302 47.757353900194, -122.249915546003 47.7585656186554, -122.249765342298 47.7617246090927, -122.24143017820519 47.76123416762948, -122.24112178425294 47.76002832286446, -122.24002218863167 47.759101725429296, -122.24008413768077 47.756967365181694, -122.23907942158202 47.7567516367698, -122.23335022312601 47.7557851156263, -122.230335420194 47.7547572656076, -122.22904795986598 47.75684900917321, -122.228661721768 47.75795976295241, -122.22754592281699 47.7583492424286, -122.22471351009801 47.7584069428438, -122.22359771114802 47.758608893793, -122.223468965115 47.7624169649306, -122.21795434337999 47.7622456798391, -122.21797580105302 47.7667295573641, -122.21512193066101 47.7669314760066, -122.209564393582 47.765820913773, -122.201431935848 47.7657632215805, -122.201389020504 47.760613935689605, -122.20098132473402 47.756387390238, -122.19898576122601 47.7560988763238, -122.197290605129 47.7550746390081, -122.19598168713 47.7538195601613, -122.195960229457 47.7527087179981, -122.19548816067102 47.7523480498587, -122.19417924267202 47.75188639099291, -122.193106359066 47.7512516033651, -122.19241971355801 47.749967577447, -122.19222659450901 47.7478178451627, -122.191175168574 47.7474571431274, -122.19136828762399 47.7433305339702, -122.18806380611701 47.7423781930899, -122.187334245266 47.7412093872888, -122.18679433856101 47.7409858745338, -122.18693310620701 47.7383150421256, -122.188278382839 47.7280549054099, -122.18845004421502 47.7240711045828, -122.18750590664202 47.7206066822785, -122.18656176906902 47.71873002399911, -122.17407340389501 47.7186867157024, -122.173644250453 47.7131285188627, -122.17329287147444 47.71214117154273, -122.17303705782646 47.710993654318436, -122.17218434566463 47.7076657114848, -122.17303705782453 47.705829514126265, -122.17550992308827 47.70393586785019, -122.17934712780786 47.70393586785019, -122.18054289204001 47.6951866573773, -122.182688659252 47.695042231026505, -122.183461135448 47.6958365710055, -122.18567127567599 47.6959809951562, -122.18738788944599 47.6958943407138, -122.19071382862501 47.6949266896578, -122.19129318577201 47.6942478789467, -122.19197983128 47.6940167924331, -122.19300979954102 47.6944789644362, -122.19365352970401 47.6952010999904, -122.191722339214 47.6965442455215, -122.19082111698499 47.69676087865731, -122.18899721485401 47.6967897630074, -122.18766683918301 47.6975985183139, -122.187924331249 47.7039092672127, -122.212654298369 47.704017568593, -122.213394588057 47.7033677569399, -122.21371645313901 47.7034543989616, -122.21485370976102 47.7023352617642, -122.215819305006 47.7023136008072, -122.216967290464 47.7030356278557, -122.216999476972 47.7035699214333, -122.21883410793899 47.7040464489229, -122.22117299419898 47.703317215694, -122.22530359608201 47.7007395471781, -122.22520167214002 47.6994199770682, -122.22650522572098 47.6985083530397, -122.226848548475 47.6980606585719)))",Juanita,92c69fa6-e2c5-4ba8-bcbf-3958f96fe3be
"MULTIPOLYGON (((-122.297613 47.550859, -122.294323 47.550778, -122.289538 47.551082, -122.286984 47.551241, -122.278322 47.551164, -122.260237 47.551061, -122.259583 47.551502, -122.258581 47.551396, -122.257036 47.548789, -122.257637 47.547746, -122.258066 47.546993, -122.257379 47.546008, -122.257208 47.545429, -122.258495 47.542879, -122.261928 47.540272, -122.261585 47.538824, -122.262357 47.536969, -122.263816 47.534883, -122.26416 47.533492, -122.26339 47.53254, -122.263093 47.531675, -122.263142 47.530031, -122.262726 47.529409, -122.26155 47.529208, -122.260674 47.528544, -122.260314 47.52788, -122.260159 47.526209, -122.269976 47.526112, -122.291712 47.525974, -122.293428 47.530682, -122.295102 47.533927, -122.295896 47.535318, -122.29729 47.536882, -122.307142 47.545475, -122.309956 47.547694, -122.313077 47.549859, -122.313897 47.550515, -122.31388 47.551098, -122.307365 47.551033, -122.304964 47.550971, -122.30149 47.550952, -122.297613 47.550859)))",Othello,
"MULTIPOLYGON (((-122.2596969 47.4874048, -122.2640687 47.488897, -122.2639187 47.490224, -122.2691671 47.4965821, -122.2804947 47.500058, -122.2823723 47.5092351, -122.2914063 47.5262731, -122.2769922 47.5263731, -122.2599982 47.526441, -122.2605096 47.5213119, -122.2580821 47.5199591, -122.2560691 47.5186681, -122.255087 47.5173781, -122.248007 47.5119011, -122.242599 47.5113351, -122.235818 47.5097461, -122.2193239 47.5013531, -122.2134009 47.4884211, -122.2037878 47.4830841, -122.2042168 47.4738611, -122.2302239 47.4681171, -122.2309959 47.4780961, -122.241039 47.4800681, -122.2596969 47.4874048)))",Rainier Beach/Skyway Service Area,
"MULTIPOLYGON (((-122.1861457 47.5042004, -122.1784775 47.5045434, -122.1759885 47.5072834, -122.1692074 47.5072834, -122.1637143 47.5048474, -122.1553031 47.5071674, -122.152041 47.5077324, -122.147663 47.5049924, -122.1431989 47.5070494, -122.1432429 47.4925234, -122.1433079 47.4857374, -122.1440049 47.4806964, -122.1638593 47.4787964, -122.1852587 47.4787494, -122.1981329 47.4849564, -122.199816 47.4822384, -122.204065 47.4805994, -122.2095371 47.4806864, -122.2093221 47.4860814, -122.2073901 47.4978224, -122.2058021 47.4996774, -122.1995359 47.5029824, -122.1962319 47.5041714, -122.1861457 47.5042004)))",Renton Highlands FMLM Service Area,
"MULTIPOLYGON (((-122.272669 47.483321, -122.270187 47.479725, -122.267791 47.481929, -122.256316 47.474228, -122.253391 47.46958, -122.251864 47.467154, -122.246475 47.464582, -122.250302 47.462929, -122.254815 47.46232, -122.26534 47.46388, -122.267098 47.465161, -122.270488 47.465165, -122.270401 47.4632, -122.269471 47.461958, -122.267769 47.461238, -122.267583 47.458406, -122.270606 47.459577, -122.28101 47.459617, -122.287121 47.459818, -122.2914 47.459702, -122.289772 47.463382, -122.294623 47.463571, -122.30218 47.466822, -122.301864 47.499461, -122.30126 47.500217, -122.29939 47.50016, -122.297597 47.499232, -122.296229 47.497753, -122.295158 47.497855, -122.288272 47.501124, -122.28102 47.500375, -122.280484 47.500058, -122.2757101 47.5021026, -122.2718794 47.4984068, -122.265067 47.492543, -122.271938 47.487669, -122.274245 47.485958, -122.275436 47.48593, -122.272669 47.483321)))",Tukwila,
"MULTIPOLYGON (((-122.017271 47.5368856, -122.024867 47.5341041, -122.02847209821259 47.53201158121115, -122.0304241943429 47.52329083241176, -122.036036200148 47.52135382700703, -122.04587091317187 47.51573933278402, -122.05691969766136 47.516063127471625, -122.05661175597538 47.52935341770768, -122.06169193096733 47.529838221945795, -122.06782114703611 47.52846505163106, -122.07327850745205 47.52899010786126, -122.07481081146929 47.530868194173735, -122.0764742456211 47.530696489675904, -122.07700686864933 47.533538824224365, -122.07353450456672 47.533950288389235, -122.0735928868119 47.54081938315852, -122.06315378626432 47.540720316715635, -122.06637288762147 47.54548869789116, -122.0678194349875 47.54815889277319, -122.06884159757917 47.55189500946548, -122.05858075751277 47.55183834693534, -122.04374186428635 47.55172503961485, -122.04950547559656 47.56126305501304, -122.0545537 47.5679172, -122.0550794 47.5681959, -122.0413036 47.5812532, -122.0413036 47.5826137, -122.0392007 47.5843795, -122.0409173 47.5965356, -122.0407457 47.6169632, -122.0139665 47.6167896, -122.0138807 47.5875635, -122.0139665 47.58024, -122.0046968 47.5808189, -121.9961566 47.5781556, -121.9877023 47.5754632, -121.9894618 47.573147, -121.9901056 47.5697015, -121.9961996 47.5670376, -122.0095891 47.560609, -122.0158119 47.5573075, -122.0207471 47.5544691, -122.0219058 47.5494004, -122.0163698 47.5446497, -122.017271 47.5368856)))",Issaquah/Sammamish,
