OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
338,7140,3252306,Magnolia Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2643.09464096446,119652.074142629
339,2273,4260801,Northcrest Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,3550.6341470587,318584.053424678
340,2619,6262902,Redmond Watershed Addition Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1997.54965766571,107512.904434836
341,4632,6232301,Mirrormont Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2776.2880536105,471301.948048937
342,2900,3251301,Burke-Gilman Trail Site - Seattle,Trail Site Regional,City of Seattle,City,City of Seattle,City,City of Seattle,City,111946.503770715,3885287.37077588
343,2404,3263603,Sandel Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1739.22021226905,161890.906300659
344,2554,4230102,Lakeridge Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,12101.4911077636,1519357.45588358
345,2539,4221601,City Park - Des Moines,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1678.90712837743,141531.359769822
346,2822,5250701,Marina Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,2808.79140832598,362335.286298809
347,2606,5253102,Meydenbauer Beach Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2415.05667127077,100417.001463074
348,2547,4220901,Midway Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1052.42019470342,68688.1927017317
349,5071,8230905,William Henry Taylor Park,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,2221.23910342192,88192.4210234319
350,2788,5233001,Thomas Teasdale Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,2597.54860455849,421275.519599778
351,3024,6220701,Shadow Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,10283.933197715,2676716.20869712
352,6968,4262702,University Lake Shore Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,366.951311353123,6623.26332079267
353,7828,7243504,Swenson Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,2185.68737938199,212926.33569859
354,2465,3211202,Lakota Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,5019.41800072385,1276671.30267186
355,2738,6202302,Montgomery Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,1630.67031712896,71860.9807504695
356,7844,3260102,Kruckeberg Botanic Garden,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1941.50398975399,165582.794422563
357,2303,4253302,Powell Barnett Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1885.18119771013,189787.30808945
358,2714,6261501,Ring Hill Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,21337.2900713679,13961935.7284677
359,2849,4231605,Sunset Playfield,Park Site,King County Parks and Recreation,King County Parks,City of SeaTac,City,City of SeaTac,City,4385.441483601,607852.362152106
360,2673,5260705,Park at Bothell Landing,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,6271.17544478105,595765.630130838
361,7174,4241003,Mount Baker Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5389.24999111061,156609.883815688
362,15322,5242902,Madison Lane Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,1090.63567410919,32972.7654138808
363,7074,3243504,Kilbourne Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1267.29660605182,28332.8079310615
364,15375,4251710,Fritz Hedges Waterway Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2018.02799383231,156852.716503823
365,8214,6242302,Black Nugget Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1976.97368838715,129537.30375441
366,6915,5241102,Spiritridge Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1778.79150901908,196092.125972901
367,2797,4230202,Fred Hutchinson Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1891.86834849945,190824.202339002
368,7051,3240202,Hamilton Viewpoint Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,8375.10224591766,735081.976020959
369,5011,5242603,Cougar Ridge West Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,6281.72247621758,347412.504139556
370,2445,3251201,Gilman Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1663.27687303941,170352.556925142
371,15348,4213506,Strawberry Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,893.174772222659,22455.6291558462
372,7066,4241503,Stan Sayres Memorial Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,12521.5252348122,827486.103704995
373,5372,5251403,Redmond West Wetlands,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1910.40372647649,198166.152482855
374,2270,4260804,Cromwell Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,3681.98199622454,351697.363039494
375,7284,4222104,Salt Air Vista Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1569.38440326881,117864.12053216
376,2979,5212601,Green River Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,87604.8454358068,57942860.2116034
377,7019,4252804,Miller Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,514.61466917195,8179.54190483659
378,6891,5231802,Piazza Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,855.683635792576,45277.8069585167
379,7144,3252506,Marshall Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,789.445197444331,34041.2182261095
380,7291,4221303,Kiwanis Park #2,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,529.92424997353,17501.6139034237
381,7236,4252203,Madison Park North Beach,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1778.84524935493,195519.173546381
382,6992,3252504,Kerry Park and Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1562.43943524405,53617.3969903078
383,2670,6252101,Northeast Sammamish Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,3170.7114183703,249764.598845775
384,2580,5251901,Yarrow Bay Wetlands,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,15165.7414659608,3371985.56866185
385,7837,6211101,Coal Car Historical Triangle,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City,466.704922211067,7556.21454501483
386,15400,5211806,B Street Plaza,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,299.131554668721,4947.05789589074
387,7168,4240514,Union Station Square,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,206.915070351647,1528.13063391686
388,5027,5242405,Lakemont - Deer Run Park and Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,13751.9418644005,351270.783679034
389,5481,5240801,Enatai Beach Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2105.80555657995,250124.98174633
390,7067,4242205,Columbia Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1745.94612150257,108584.688774693
391,2739,6202402,Dwight Garrett Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,2094.89638705763,237814.884460123
392,4601,7223401,Sugarloaf Mountain Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,16946.0794360475,12743248.8307807
393,5066,5251903,Wetherill Nature Preserve,Park Site,City of Yarrow Point,City,City of Yarrow Point,City,City of Yarrow Point,City,4081.72793338129,663707.906509233
394,7590,5210602,Riverpoint Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1977.65259912085,165234.183948121
395,2592,5251101,Luke McRedmond Landing,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1724.91298109206,89454.3757118518
396,5166,7242606,Thompson Park - Snoqualmie,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,446.794843026111,10957.1030755568
397,5039,5242310,Saddleback Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,910.78956509597,51118.4146096422
398,2727,6210401,Lake Sawyer Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City,1464.67508540974,78123.4540007362
399,7582,4241904,Terminal 107 Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,5635.18685590546,630704.564716255
400,3143,8231401,Tanner Landing Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,8820.87206009463,1777367.11836449
401,2677,6242602,Tradition Plateau NRCA,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,33070.0178560152,18643654.0263841
402,5073,8230908,Si View Neighborhood Park,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,13789.7008607033,607294.960192179
403,8142,5240403,Norwood Village Neighborhood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1228.89703001489,67361.933321164
404,7833,6211504,Union Stump Historical Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City,572.824348664944,13759.7545157814
405,5025,5241504,Horizon Highlands Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3202.28727750807,129557.09161737
406,2509,4231502,Southgate Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,5737.81383316541,475453.035313883
407,6920,4211803,English Gardens Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,4571.78323546758,147968.630033552
408,7048,4240512,Occidental Square,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,701.715606416306,26623.6613063497
409,2675,6241201,Duthie Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,14670.7530114444,5907971.61022744
410,2644,5231603,Maplewood Park - Renton,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1257.38160891725,86536.7057505853
411,7847,3241404,Ercolini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,634.986300674888,23499.027598404
412,7238,4242601,Martha Washington Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2629.37963061396,417182.847688433
413,2834,5261003,DeYoung Park,Park Site,City of Woodinville,City,City of Woodinville,City,City of Woodinville,City,681.090711721354,26895.4173416453
414,7064,4241602,Jefferson Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,6051.72910483492,1957393.37647267
415,2342,5231501,Maplewood Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,9152.40211051847,1943316.38277947
416,7045,4240509,Hing Hay Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,480.033758271026,14401.9932914212
417,7864,6240402,Big Rock Park - Sammamish,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,3387.76329159524,695102.343438224
418,7130,4251908,Wolf Creek Ravine Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1818.8823877206,65242.2931193953
419,6979,3252403,Soundview Terrace,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,765.654958896604,13215.8138559743
420,5076,8243203,Riverview Park - Snoqualmie,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1568.68371614235,97616.6698770215
421,2535,4222201,Old Fishing Hole Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1943.09759593091,184764.289003457
422,2536,4222101,Parkside Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,2065.5094183161,173907.202703096
423,15359,3220802,Portage Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,525.511871487952,16060.0172053717
424,2408,3262501,Carkeek Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,33207.7283033158,7832838.5467417
425,2349,5230502,Gene Coulon Memorial Beach Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,12349.9085466087,2284427.6631771
426,7281,5222901,Tudor Square Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,5680.27545940581,490435.785341302
427,3044,6203501,Boise Creek Park,Park Site,Other School District,School District,City of Enumclaw,City,City of Enumclaw,City,4252.72328831069,888309.503308996
428,2702,5262601,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,11639.1950136867,3960549.16956596
429,6955,4253202,Freeway Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5400.48802345488,224455.87609131
430,6981,4251903,Mayfair Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,884.838540761881,42493.6935033025
431,8207,6242804,Confluence Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,4898.86858751625,788246.54300676
432,7039,4240406,Flo Ware Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,599.207979633804,21521.5785849595
433,8059,5222405,Gerry Crick Skate Park,Park Site,City of Covington,City,City of Covington,City,City of Covington,City,339.935442827332,6993.20688488748
434,5031,5241401,Lattawood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,2282.37152018911,232025.09106528
435,2568,4223201,Redondo Waterfront Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,2288.68318648644,122509.897306457
436,7089,4263403,Inverness Ravine Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2299.09677253689,117969.676989512
437,7081,4262809,Victory Heights Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1239.64351358784,68239.1812718307
438,7866,4260203,Northshore Summit Park,Park Site,City of Kenmore,City,City of Kenmore,City,City of Kenmore,City,2255.22201928257,161664.113800043
439,2275,4261301,Moorlands Park,Park Site,City of Kenmore,City,City of Kenmore,City,City of Kenmore,City,2400.47815189342,198477.49111428
440,2507,7263601,Moss Lake Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,17440.2347283962,16201280.0911861
441,2276,4242801,Van Asselt Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3108.4164424701,393685.558241055
442,6986,4251705,Northlake Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,235.706911832762,2141.86237222816
443,2718,6212701,Flaming Geyser Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,14318.8767836307,3715666.20991108
444,7003,4250402,Ravenna-Eckstein Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1907.11123641415,136359.449233665
445,3009,6222002,Cedar Creek Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,13766.0482997853,5260342.36473294
446,7289,5221903,Campus Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1840.11439456232,184002.759113064
447,2391,7243301,Jim Ellis Memorial Regional Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,9462.25840268784,1626129.77569327
448,8139,5250705,Settlers Landing,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,839.956222494151,20509.660421864
449,7030,4253203,Plymouth Pillars Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1271.44607949761,29733.2116898118
450,2524,4233501,Briscoe Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2356.3989970816,296045.055430481
451,2315,4251901,Gas Works Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4513.30218244483,924443.920869485
452,7298,4222411,Gowe St Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,369.971777965915,6052.37844978928
453,8232,4243003,West Duwamish GS: Riverview,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,12511.7786855925,2477331.43763207
454,2508,4220401,Des Moines Creek Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,14044.5884828092,2114516.00995218
455,8209,6242702,Depot Park - Issaquah,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,3771.96663892068,158809.546157253
456,2585,5251402,Cascade View Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,3248.58042684576,350517.290858713
457,2400,5212001,Forest Villa Mini Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,407.834747571924,9653.30519883027
458,2586,5252501,Tam O Shanter Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4234.32322737887,621257.037218245
459,2551,8230902,Shamrock Park,Park Site,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,Si View Metropolitan Park District,Park District,2085.0139316155,143358.921804892
460,5390,3261202,Boeing Creek Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,7313.54968623715,1763897.26298329
461,4583,6202606,Scott Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,773.366075237945,16095.2894398017
462,8115,7243506,Jeanne Hansen Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,3614.71438290962,813528.184141495
463,2667,6222101,Lake Wilderness Park,Park Site,City of Maple Valley,City,City of Maple Valley,City,City of Maple Valley,City,20653.5830201759,5040161.5905525
464,5091,5241904,Parkwood Ridge Open Space,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1642.5670698464,121802.950359628
465,2652,5243003,Wildwood Park - Mercer Island,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1809.92854464567,123502.534508851
466,5041,5242305,SE 63rd Greenbelt South,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,6529.20192012229,474232.289417786
467,5049,5242312,The Summit Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1713.91675197319,16174.6233721202
468,15343,4213507,Blueberry Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,344.065179246086,4835.83701394592
469,5307,4220804,Water Tower Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,822.371747836847,42143.3816507641
470,2819,5250506,Ohde Avenue Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,783.27708606416,37421.5425813714
471,2584,5240701,Clise Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1094.633075327,64143.2320293021
472,7062,3241402,Junction Plaza Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,359.088655093109,6810.43343485676
473,7121,4252003,Bagley Viewpoint,Park Site,State of Washington,State,City of Seattle,City,City of Seattle,City,353.047671501036,6224.01015808802
474,2266,4261202,Rhododendron Park,Park Site,City of Kenmore,City,City of Kenmore,City,City of Kenmore,City,2920.28579252764,509404.839368908
475,7036,4253308,Gerber Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,453.995481861469,7131.90601105868
476,7137,3252304,Bayview Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1854.06504449239,201448.614047914
477,2425,4212701,Five Mile Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,6576.24888268547,1390516.9780627
478,6973,3251105,Marvins Garden,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,323.012026416799,4483.87957922342
479,2801,4243102,Highland Park Playground - Seattle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2160.86115838502,276634.127660756
480,2376,4262302,Saint Edward State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,28120.2529083659,14084589.9247872
481,2745,5242702,Redman Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,5381.51929578528,375464.008682378
482,2252,4260402,Bruggers Bog Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,1947.19060826893,194342.730255676
483,7011,4252106,Boren Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2555.97031669613,315213.252346355
484,7006,3250203,Webster Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,796.436761183683,34686.9064929669
485,2298,4252105,Interlaken Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,19211.108456542,2289407.23706262
486,2850,5231903,Talbot Hill Reservoir Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1547.66540064362,113896.961892023
487,4859,4230402,Hamm Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4209.69140739235,295446.983356542
488,2710,5261401,Gold Creek Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5046.57035344776,1510916.3892957
489,2827,5250703,David E. Brink Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,3475.75269178849,364712.885857921
490,7181,3241104,California Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,500.237400637018,10622.1398270644
491,7170,4240516,Katie Blacks Garden,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,727.730668268119,28457.5318890168
492,2334,5220602,Issac Evans Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,12946.7316727267,830422.643743531
493,2267,4260702,Meridian Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,2039.43350147914,136209.0520938
494,7087,4263301,Sacajawea Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1361.45868569193,113467.186982437
495,2725,5260901,Woodin Creek Park,Park Site,City of Woodinville,City,City of Woodinville,City,City of Woodinville,City,1964.58895969106,179593.411762163
496,2501,7263202,Stillwater Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,15746.2768798336,1977313.9870856
497,7197,4242102,Maple School Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,7499.76410061268,323851.314050124
498,2776,3243602,Roxhill Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3815.93956476768,599812.415452341
499,2333,5220701,Garrison Creek Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1922.59442975417,207247.736176094
500,8151,5211904,21st Street Playground,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,483.405576954757,9102.36762971569
501,2601,5260501,William Penn Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,1670.76338022114,119459.525951639
502,2291,4242203,Brighton Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3260.58574706622,606565.798115844
503,7581,4241803,Terminal 18 Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,1234.22338830141,54519.1412719297
504,2397,5211701,State Park - Auburn Narrows,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,19805.7871254528,2762266.59063362
505,6943,4240907,Colman Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1441.95142501518,121974.359563454
506,2805,5250702,Street End Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1489.63804733339,41080.8573702663
507,2486,3230101,North Shorewood Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2543.82234932822,272869.564048416
508,7000,3250103,Baker Park on Crown Hill,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,672.363602984383,17822.6605896067
509,2347,5230901,Sunset Court Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1567.99086202088,39001.8669555643
510,7244,4250403,Picardo (Rainier) P-Patch,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1417.09666077999,127568.381179218
511,2336,5220301,Lake Youngs Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2139.95456047537,209484.224784806
512,2254,4260502,Shoreline Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,2571.02136915569,412668.640028778
513,5306,4220404,Westwood Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,578.508438816633,17471.396358589
514,2378,4262001,Jackson Park Golf Course,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,13007.1723138531,6993831.21390804
515,2356,5223401,Meridian Glen Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,4563.25214802783,237584.14520612
516,6984,4251703,South Passage Point Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,882.367442956933,38765.7179154553
517,4283,6230302,Issaquah Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,6660.18397907775,2073903.02811563
518,7122,4252004,Harvard-Miller/Roanoke Annex,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,357.949734453627,6398.69107466942
519,15346,4213504,Otter Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,284.55946495953,5326.29148596642
520,7207,3242603,Orchard Street Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1635.72079036419,67795.1880959298
521,2744,6261304,McCormick Park - Duvall,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,11702.6743872622,2702056.54095705
522,5317,5222302,Friendship Park,Park Site,City of Covington,City,City of Covington,City,City of Covington,City,635.416920820645,25929.3894328357
523,7190,3242405,Puget Creek Greenspace,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4984.51515917486,320979.914594867
524,7129,4251907,Westlake Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1283.72147147097,59291.7050425181
525,2635,5250201,Reservoir Park - Redmond,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1169.7641629731,80773.3942843221
526,15396,3233002,Village Green,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,497.660310088658,15451.1439603389
527,2383,5212902,Game Farm Park,Park Site,Washington State Parks,State,City of Auburn,City,City of Auburn,City,10443.8142609685,3805789.5266756
528,7106,3251205,Rainier Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,86.2883301335591,412.302803639125
529,5015,5242213,Forest Glen East Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,7100.50371487016,335223.000288157
530,15334,4232304,Hazelnut Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,420.168666407957,10436.3136651613
531,2393,5211804,Indian Tom Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,563.906032992235,19103.5586087671
532,2258,4261902,Bitter Lake Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2295.67556950178,325996.810832022
533,7865,6253602,Thirty Acres Park,Park Site,City of Sammamish,City,City of Sammamish,City,City of Sammamish,City,5299.74317344298,1301821.51782232
