OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
182,7307,3210601,Northilla Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5506.9043951496,364232.738136654
183,7214,4243206,South Park Meadow,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,834.340418085651,43507.7463206131
184,2817,5262901,Heronfield Wetlands,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,8154.74921077141,1268492.29776645
185,2577,5252201,Goldsmith Neighborhood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3281.20046846859,332094.187133738
186,2766,6230402,Squak Mountain State Park - County,Park Site,Other King County,County,Washington State Parks,State,Washington State Parks,State,6581.03717817596,2158221.58694971
187,7271,6250601,Sunset Gardens Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1036.57768985117,42679.3268301604
188,2340,5230501,Kennydale Lions Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,2615.40806257132,243997.725723517
189,2810,5242201,Somerset Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,7205.34742423396,477269.211017135
190,8109,4212603,Waffle Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,893.819404856872,25865.1990282569
191,7012,4252702,Lakeview Park - Seattle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3024.72828262063,193294.713358505
192,2459,2232501,Agren Memorial Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,4633.62291181933,1318320.16408351
193,7308,6250603,Bear and Evans Creek Greenway,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,10876.5270926406,1682451.58708253
194,4890,5261102,Hollywood Hills Equestrian Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,Other Private,Private,2545.5581288529,317420.980000391
195,7115,4251708,Sunnyside Ave N Boat Ramp,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,909.433153601556,23534.8955908985
196,2769,9233301,Olallie State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,22853.4961874199,7901085.57263777
197,6948,4252902,Bellevue Place,Park Site,Washington State DOT,State,City of Seattle,City,City of Seattle,City,1827.06576231429,54034.2525334376
198,2660,6223601,Ravensdale Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,7548.39388762712,1849893.71567592
199,6889,5231606,Heather Downs Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1867.64683418745,190559.392746076
200,2609,5252901,Hidden Valley Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,5092.69843682767,747226.620688614
201,2466,3241001,Alki Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,23775.1214960265,5920213.10212192
202,2543,4222402,Willis Street Greenbelt,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1998.06008177502,163035.190789139
203,7305,4222202,Linda Heights Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,3508.78133989974,176124.128434972
204,2574,4222403,Uplands Playfield,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,2577.50729708556,120623.014125501
205,7053,3241102,Hiawatha Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2904.31129847745,526365.413932667
206,2257,4261201,Tl' awh-ah-dees Park,Park Site,City of Kenmore,City,City of Kenmore,City,City of Kenmore,City,7728.22371145664,1820253.77785954
207,7095,4250904,Ravenna Park Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,232.489070804354,2633.65984220051
208,7831,4243002,Terminal 115 Viewpoint,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,380.060944574953,3459.61926518654
209,5310,4222102,Parkside Wetlands,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,6869.16650066588,470936.325651
210,7187,3241507,Charles Richey Sr Viewpoint,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,6066.17253590652,429635.605294202
211,2293,4242003,Cleveland Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1932.32196933137,165975.13745066
212,2274,4260703,Darnell Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,829.966496886759,36639.2957030125
213,7156,4253404,Madrona Ravine,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,961.757829707507,25235.2940105083
214,5299,2233602,Island Center Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,28226.3736353273,16267247.1946866
215,7055,4240911,Bradner Gardens Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1059.00648585546,68040.6610048467
216,5034,5242103,Newport Hills Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,573.671041058488,20768.3367403632
217,2676,6242801,Rainier Greenway,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,12823.3774592901,557460.542795409
218,2484,3231201,Salmon Creek Ravine,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,14713.9699351684,4041957.57152131
219,8101,7251502,Ormes Hill Park Site,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3032.46304526241,415751.061921197
220,2777,5240601,Luther Burbank Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,14479.338285032,3274922.08230958
221,2510,4240301,Frink Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,7686.45814137816,725037.760809971
222,2634,5241901,Island Crest Park,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,5212.39143376269,1697943.62179022
223,7198,4241504,Rainier Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2570.65074996237,413269.778185572
224,2534,4222301,Riverbend Golf Course,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,18618.7891706258,5503266.69925666
225,2354,5230201,May Valley Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,7373.81052864854,2364002.68776419
226,6983,3251302,West Ewing Mini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,812.866998582082,18334.4225699602
227,7612,3233201,Point Heyer Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,23631.1598922669,2580231.46919676
228,2447,3220901,Tramp Harbor Dock,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,1469.08728130647,43958.0818737024
229,2545,4221101,Green River Natural Resources Area,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,23696.8561850642,13385347.4786372
230,2471,3243502,Fauntleroy Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,12258.9643724965,1389025.31661781
231,2816,5250504,Reservoir Park - Kirkland,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,671.915113641874,27053.8362124941
232,2413,3260202,Richmond Beach Community Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,2206.66125597661,164178.546761797
233,2464,2221101,Lisabeula Park,Park Site,Vashon PRSD,Park District,Vashon PRSD,Park District,Vashon PRSD,Park District,2480.45199945321,275122.918083747
234,7136,3252409,SW Queen Anne Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,10766.8370375969,546931.289131587
235,5077,8230603,Snoqualmie Point Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,3274.95267879155,377627.861720875
236,2430,8231002,Torguson Park,Park Site,City of North Bend,City,City of North Bend,City,City of North Bend,City,4934.55681140632,926312.059420047
237,2423,4213601,Pacific City Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,4685.6500298169,1104303.71836906
238,7118,4252107,Montlake Boulevard,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1084.99350982041,11469.2040415427
239,7193,3241302,Pigeon Point Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,8030.85361477743,1311139.49914425
240,5479,6211403,Ginder Creek Site,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City,4790.76967181795,1196637.63158318
241,7200,4241506,Sierra Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,124.467826037407,640.149442518058
242,2679,6242001,Sammamish Cove Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,4458.08954793155,833122.688273258
243,4284,6263301,Novelty Hill Little League Fields,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2354.68419171902,288519.928502159
244,7201,4241507,York Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1011.35912980255,29943.2583722611
245,5020,5242601,Forest Ridge Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,639.83471697172,24431.2901939751
246,2380,5211901,Terminal Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1261.17688624294,53919.0239451019
247,7092,4251004,Bryant Neighborhood Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1634.3800331404,134780.435072429
248,7285,4222203,Old Fire Station Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,400.077313961845,9096.60250659296
249,5087,5260709,Red Brick Road Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,884.034228040817,12569.5045759739
250,2403,4210301,Camelot Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5453.87113708338,787493.291032205
251,7049,4240601,Pioneer Square,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,570.190259348315,13852.1124370494
252,5320,5222404,Covington Community Park,Park Site,City of Covington,City,City of Covington,City,City of Covington,City,4927.15317997554,1299972.12904735
253,6982,3251306,Fremont Canal Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,4012.63505019613,29421.6076488383
254,2338,5213102,Mill Pond Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,2444.45115217517,352161.689570386
255,6971,3251103,Ballard Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1755.55732648496,149394.706755395
256,2791,5241805,Rotary Park - Mercer I,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1743.74572110684,163683.974099341
257,5118,5242704,Thomas Rouse Road Historical Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,316.505980908891,3618.58992944081
258,2842,7203001,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,17196.1351211748,8216525.08263083
